IP Address           MAC Address         
----------------------------------------
192.168.230.254      00-50-56-e5-89-dc   
192.168.230.255      ff-ff-ff-ff-ff-ff   
224.0.0.2            01-00-5e-00-00-02   
224.0.0.22           01-00-5e-00-00-16   
224.0.0.251          01-00-5e-00-00-fb   
224.0.0.252          01-00-5e-00-00-fc   
239.255.255.177      01-00-5e-7f-ff-b1   
239.255.255.246      01-00-5e-7f-ff-f6   
239.255.255.250      01-00-5e-7f-ff-fa   
255.255.255.255      ff-ff-ff-ff-ff-ff   
192.168.131.254      00-50-56-e6-86-7a   
192.168.131.255      ff-ff-ff-ff-ff-ff   
224.0.0.2            01-00-5e-00-00-02   
224.0.0.22           01-00-5e-00-00-16   
224.0.0.251          01-00-5e-00-00-fb   
224.0.0.252          01-00-5e-00-00-fc   
239.255.255.177      01-00-5e-7f-ff-b1   
239.255.255.246      01-00-5e-7f-ff-f6   
239.255.255.250      01-00-5e-7f-ff-fa   
255.255.255.255      ff-ff-ff-ff-ff-ff   
192.168.0.1          60-e3-27-3d-0b-b6   
192.168.0.255        ff-ff-ff-ff-ff-ff   
224.0.0.2            01-00-5e-00-00-02   
224.0.0.22           01-00-5e-00-00-16   
224.0.0.251          01-00-5e-00-00-fb   
224.0.0.252          01-00-5e-00-00-fc   
239.255.255.250      01-00-5e-7f-ff-fa   
255.255.255.255      ff-ff-ff-ff-ff-ff   
